session_ID,trial_ID,subject_ID,cohort_ID,response_time_sec,response_decision,trial_condition,shape_description,angular_disparity,object_angles,thumbstick_angle,thumbstick_time_sec,action_count,action_angles,action_durations,first_action_onset,last_action_offset,action_time_intervals,vr_setup
3,14,0xFB,1,1.75708,Match,Match,bbddbblll,0,"{'1': 56.46258018039333, '2': 56.46258018039333}",[],[],0.0,{},{},0.0,1.75708,{},Action
3,15,0xFB,1,4.89209,Match,Match,ffuulllbb,180,"{'1': 324.4405639480044, '2': 144.4405639480044}",[],[],0.0,{},{},0.0,4.89209,{},Action
3,16,0xFB,1,1.375732,Match,Match,llbbbbbru,0,"{'1': 59.737230314385215, '2': 59.737230314385215}",[],[],0.0,{},{},0.0,1.375732,{},Action
3,17,0xFB,1,5.001465,Match,Match,ffffuulff,60,"{'1': 128.11380594667577, '2': 68.11380594667577}",[],[],0.0,{},{},0.0,5.001465,{},Action
3,18,0xFB,1,2.222168,Match,Match,bbbdddrrb,0,"{'1': 62.962237572266424, '2': 62.962237572266424}",[],[],0.0,{},{},0.0,2.222168,{},Action
3,19,0xFB,1,8.761719,Match,Match,bdddbllll,120,"{'1': 105.49823388367147, '2': 225.49823388367147}",[],[],0.0,{},{},0.0,8.761719,{},Action
3,20,0xFB,1,3.529053,Match,Match,bbbdddrrb,180,"{'1': 198.73080974903075, '2': 18.730809749030755}",[],[],0.0,{},{},0.0,3.529053,{},Action
3,21,0xFB,1,5.168457,Match,Match,rrrbbbddb,120,"{'1': 74.4947671598909, '2': 314.4947671598909}",[],[],0.0,{},{},0.0,5.168457,{},Action
3,22,0xFB,1,2.364014,Match,Match,rbbbbbbub,120,"{'1': 72.4788232515303, '2': 312.4788232515303}",[],[],0.0,{},{},0.0,2.364014,{},Action
3,23,0xFB,1,2.862305,Match,Match,bbbdddrrb,60,"{'1': 33.12076335100871, '2': 93.12076335100872}",[],[],0.0,{},{},0.0,2.862305,{},Action
3,24,0xFB,1,2.042236,Match,Match,ffuubllll,0,"{'1': 206.2812260441882, '2': 206.2812260441882}",[],[],0.0,{},{},0.0,2.042236,{},Action
